Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
47,Mariage,49,6037,202,1722-06-22,334/478
48,Mariage,47,6761,279,1765-08-06,9/446
49,Mariage,48,7473,279,1738-10-22,43/454
50,Mariage,47,7703,279,1780-10-25,30/229
51,Mariage,44,4316,250,1891-06-22,95/110
52,Mariage,66,3690,202,1738-06-04,36/201
53,Mariage,66,3920,64,1814-07-27,n/a
54,Mariage,60,3919,64,1814-07-26,n/a
55,Mariage,66,4301,347,1659-11-05,n/a
56,Mariage,66,4608,347,1673-02-09,n/a
57,Mariage,65,4614,279,1737-10-16,14/454
58,Mariage,57,4682,64,1792-08-01,15/027
59,Mariage,66,4843,202,1751-10-26,35/156
60,Mariage,55,4858,64,1781-02-14,94/211
61,Mariage,61,4982,279,1780-02-07,7/229
62,Mariage,64,5974,64,1818-11-04,n/a
63,Mariage,66,5975,64,1818-11-04,n/a
64,Mariage,62,6033,343,1852-07-05,190/359
65,Mariage,56,6644,343,1785-01-26,50/113
66,Mariage,66,6932,347,1656-10-12,n/a
67,Mariage,63,7474,343,1820-10-11,393/405
68,Mariage,58,7734,271,,n/a
69,Mariage,59,7736,271,,n/a
70,Mariage,50,4383,64,1898-06-20,09/026
71,Mariage,51,6944,343,1809-11-15,87/419
72,Mariage,51,8167,343,1826-08-12,352/542
73,Mariage,52,6843,129,1841-04-27,238/438
74,Mariage,54,5410,238,1857-06-30,38/223
75,Mariage,54,5668,64,1809-02-08,n/a
76,Mariage,53,5810,64,1906-06-25,n/a
77,Mariage,67,5812,64,1807-01-21,n/a
78,Mariage,68,5809,64,1807-01-21,n/a
79,Mariage,69,7046,64,1613-01-13,17/126
80,Mariage,72,6157,64,1736-07-01,186/186
81,Mariage,73,6448,205,1787-02-06,243/383
82,Mariage,74,6638,343,1808-11-15,163/170
83,Mariage,75,7249,64,1792-02-01,5/027
84,Mariage,75,7578,343,1683-10-21,33/093
85,Mariage,70,5526,129,1808-06-21,120/418
86,Mariage,71,4214,343,,1/100
87,Mariage,71,5745,64,1783-06-04,142/211
88,Mariage,76,5669,64,1809-02-08,n/a
89,Mariage,78,5669,64,1809-02-08,n/a
90,Mariage,79,4212,64,1715-07-10,109/160
91,Mariage,80,4305,64,1646-07-26,119/126
92,Mariage,81,5317,64,1621-02-07,54/126
93,Mariage,82,5404,202,1732-07-01,455/478
94,Mariage,83,4039,279,1777-02-10,325/446
95,Mariage,93,4307,26,1746-09-06,90/117
